published_date,type,title,url,view_count,like_count,comment_count,guest_name,party,affiliation_wing,prominence,guest_style,topics,topic_wing,topic_treatment,stance,bias_category,framing_score,vader_title,vader_desc,vader_composite,guest_episodes,guest_median_views,guest_influence_tier,prominence_label,manual_review
2022-07-03,livestream,How Your DNA Made You Who You Are - Robert Plomin,https://www.youtube.com/watch?v=xQwLKT6BCQI,62475,2474,472,Robert Plomin,,,,,,unknown,unknown,unknown,unclassified,0.0,0.0,0.0,0.0,1,62475.0,low,,
2022-07-06,livestream,Can Democracy Survive Identity Politics? With Yascha Mounk,https://www.youtube.com/watch?v=yDV9rF7Lduc,32703,1135,202,Yascha Mounk,,,,,woke_and_cancel_culture,right,sympathetic_to_right,unknown,right_topic_sympathetic,1.0,0.0,0.0,0.0,1,32703.0,low,,
2022-07-10,livestream,"""Will Rats Cause the Next Pandemic?"" - Steven Belmain",https://www.youtube.com/watch?v=AKTuXHuT5pM,25687,1163,308,Steven Belmain,,,,,covid_and_pandemic,unknown,unknown,unknown,unclassified,0.0,0.0,0.0,0.0,1,25687.0,low,,
2022-07-13,livestream,Critical Drinker: How Politics Ruined Hollywood,https://www.youtube.com/watch?v=s3rAZEvwCLM,911614,43441,5106,Critical Drinker,Anti-woke commentator,right,3.0,,woke_and_cancel_culture,right,sympathetic_to_right,unknown,right_affiliated_unknown,1.5,-0.6597,0.0,-0.6597,5,329782.0,medium,Senior/Established,
2022-07-17,livestream,Why Ordinary People Have Less and Less Power with Joel Kotkin,https://www.youtube.com/watch?v=3tc8jAO5-F0,80193,3250,798,Joel Kotkin,,,,,,unknown,unknown,unknown,unclassified,0.0,0.0,0.0,0.0,1,80193.0,low,,
2022-07-24,livestream,Jaron Lanier - The Truth About Social Media,https://www.youtube.com/watch?v=AfTZ82SxvHg,307721,9374,1534,The Truth About Social Media,,,,,trump_and_us_politics,contested,right_framing,endorsing,contested_right_framing,1.0,0.3182,0.0,0.3182,1,307721.0,medium,,
2022-07-27,livestream,The Sexual Revolution is Terrible for Women - Louise Perry,https://www.youtube.com/watch?v=0K1ZIbFU6O4,938624,26662,7222,Louise Perry,Conservative writer,right,2.0,,culture_war_general,right,unknown,unknown,right_affiliated_unknown,0.0,-0.4767,0.0,-0.4767,6,233352.0,medium,Junior/Regular,
2022-08-03,livestream,Economic Disaster is Already Here - Peter Zeihan,https://www.youtube.com/watch?v=tjYDcuOlK_M,289274,10142,2773,Peter Zeihan,,,,,russia_ukraine_geopolitics|climate_and_environment|economy_and_cost_of_living,left,unknown,unknown,unclassified,0.0,-0.6249,0.0,-0.6249,1,289274.0,medium,,
2022-08-07,livestream,Technocracy Can't Answer Moral Questions - Carl Trueman,https://www.youtube.com/watch?v=86pmrLxW5BU,56129,2258,565,Carl Trueman,,,,,trans_and_gender|woke_and_cancel_culture,right,sympathetic_to_right,unknown,right_topic_sympathetic,1.0,0.0,0.0,0.0,1,56129.0,low,,
2022-08-13,video,"Matt Walsh: ""Feminist Complaints About My Movie Are Ridiculous!""",https://www.youtube.com/watch?v=A6S4ptGRFpc,53252,2523,450,Matt Walsh,Anti-trans,right,4.0,,trans_and_gender|trump_and_us_politics|culture_war_general,right,sympathetic_to_right,unknown,right_affiliated_unknown,0.5,-0.4574,0.0,-0.4574,2,176978.5,medium,Cabinet/Platform,
