published_date,title,url,topics,n_topics,framing_score,tags_framing_score,guest_signal,identity_signal,guest_name_detected,guest_style,combined_score,combined_label,signal_sources,confidence,label_stage4b,label_stage5,label_stage6,cumulative_bias_score,score_lexicon,score_tags,score_guest_talkingpoints,score_guest_identity,combined_label_with_manual,manual_override_applied,manual_override_note
2019-10-06,"Rod Liddle Unfiltered: Political Correctness, Brexit & the Liberal Elite",https://www.youtube.com/watch?v=cjkhWsvrD2c,woke_and_cancel_culture|uk_politics|culture_war_general,3,2.0,1.0,0.0,0.0,Rod Liddle Unfiltered,,2.0,right-leaning,lexicon|tags,high,right-leaning,right-leaning,right-leaning,2.0,1.0,1.0,0.0,0.0,right-leaning,False,
2019-10-10,Alistair Williams: Why I Had to Create the Burger King Brexit Video,https://www.youtube.com/watch?v=FUVgagD1qRA,free_speech_and_censorship|uk_politics|culture_war_general,3,0.0,0.0,0.0,0.0,Alistair Williams,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-10-13,Alistair Williams on Comedy Censorship,https://www.youtube.com/watch?v=HCvPHoBYNUg,free_speech_and_censorship|uk_politics,2,1.5,0.5,0.0,0.0,Alistair Williams,,1.5,right-leaning,lexicon|tags,high,right-leaning,right-leaning,right-leaning,1.5,1.0,0.5,0.0,0.0,right-leaning,False,
2019-10-15,TRIGGERnometry Reads Mean Tweets,https://www.youtube.com/watch?v=xJBseHiOY_4,,0,0.0,0.0,0.0,0.0,,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-10-18,The Battle for Freedom of Speech,https://www.youtube.com/watch?v=HaDJjzz9euk,free_speech_and_censorship|uk_politics|culture_war_general,3,0.5,0.5,0.0,0.0,,,0.5,right-leaning,tags,low,right-leaning,right-leaning,right-leaning,0.5,0.0,0.5,0.0,0.0,right-leaning,False,
2019-10-20,Can Free Speech Save Rational Debate?,https://www.youtube.com/watch?v=CJoiG874hcU,free_speech_and_censorship|uk_politics|culture_war_general,3,0.0,0.0,0.0,0.0,,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-10-27,James Rickards: The Next Financial Crash is Coming,https://www.youtube.com/watch?v=S_UhqAkG-KI,trump_and_us_politics,1,0.0,0.0,0.0,0.0,James Rickards,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-11-01,"Melissa Chen: ""China is Celebrating the Trump Impeachment""",https://www.youtube.com/watch?v=QWlqhqXxpnM,trump_and_us_politics|russia_ukraine_geopolitics,2,0.0,0.0,0.5,0.0,Melissa Chen,,0.5,right-leaning,guest,low,right-leaning,right-leaning,right-leaning,0.5,0.0,0.0,0.5,0.0,right-leaning,False,
2019-11-03,"Melissa Chen: ""US vs. China is the New Cold War""",https://www.youtube.com/watch?v=lLvW3_OgGUs,trump_and_us_politics|russia_ukraine_geopolitics,2,0.0,0.0,0.5,0.0,Melissa Chen,,0.5,right-leaning,guest,low,right-leaning,right-leaning,right-leaning,0.5,0.0,0.0,0.5,0.0,right-leaning,False,
2019-11-06,Russian comedian Konstantin Kisin DESTROYS Jeremy Corbyn,https://www.youtube.com/watch?v=SP53k64VZRo,woke_and_cancel_culture|free_speech_and_censorship|uk_politics|russia_ukraine_geopolitics,4,2.0,1.0,0.0,0.0,,,2.0,right-leaning,lexicon|tags,high,right-leaning,right-leaning,right-leaning,2.0,1.0,1.0,0.0,0.0,right-leaning,False,
