guest_name,episode_count,sample_title,guest_style
Black Lives Matter,1,Zuby - The Problem with Black Lives Matter,
Bjorn Lomborg,1,Climate Change: No Need to Panic - Bjorn Lomborg,
Bill Burr,1,"Bill Burr: ""The Internet is an Abusive Relationship""",
Ben Cobley,1,"Ben Cobley on Identity Politics, Positive Discrimination and the Left",
Ben Bradley MP,1,Ben Bradley MP: What Is the Conservative Answer to the Culture War?,
Batya Ungar Sargon,1,How Elites Betrayed Working People - Batya Ungar Sargon,
Bari Weiss,1,Israel Gave Up Land But Peace Never Came - Bari Weiss,
Dr Kevin Dutton,1,Psychopath Expert Explains How to Spot a Psychopath - Dr Kevin Dutton,
Dr Linda Papadopoulos,1,"Dr Linda Papadopoulos on Trigger Warnings, Social Media & Mental Health",
Jonathan Wilson,1,The Real History of Football - Jonathan Wilson,
Dr Linda Yueh,1,"Dr Linda Yueh on Inequality, China and the End of Poverty",
Immigration,1,Konstantin Kisin Explains Why Politicians Can’t Deal With Immigration,
Igor Kurganov,1,Will AI Destroy The World? - Igor Kurganov,
INVESTMENT BANKER,1,INVESTMENT BANKER: How You’re Kept Poor and Controlled,
Home Truths With Esther Krakue,1,Is Pearly Things a Fraud? - Home Truths With Esther Krakue,
Historian Mark Galeotti,1,What Everyone Gets Wrong About Putin - Historian Mark Galeotti,
Historian James Holland,1,WW2: Why We Fought & How We Won - Historian James Holland,
Him,1,"Bill Burr On Patrice O'Neal ""I Still Have Arguments With Him""",
Hilarious Comedian Jeff Dye,1,Hilarious Comedian Jeff Dye: Why the World's Gone Crazy!,
Heather Heying,1,"Heather Heying: ""Alpha Males Are Not Brutes""",
Heated Debate,1,"Heated Debate: Slavery, Reparations & Colonialism with Rafe Heydel-Mankoo and Kehinde Andrews",
Harvard Professor,1,Harvard Professor: Students have it too easy - here's why... #shorts,
Harry Miller,1,Arrested for a Meme - Harry Miller,
Harry Markle,1,Harry Markle: Prisoner of Wokeness,
Gregg Hurwitz,1,The Radicalisation Of America - Gregg Hurwitz,
Greg Lukianoff,1,"Elon Musk, Twitter & Free Speech with Greg Lukianoff",
Greg Ellis,1,From Hollywood to Homeless with Greg Ellis,
Glenn Loury,1,"Glenn Loury: ""We're Playing With Fire"" - BLM, Race & Policing",
Imran Ahmed,1,Do We Need to Censor Hate Speech? - Imran Ahmed,
Ioan Grillo,1,The True Cost of the War On Drugs - Ioan Grillo,
Iona Italia,1,"""We Need to Move Beyond Race"" - Iona Italia",
Jeff Dye,1,"""It's not white privilege, just majority privilege."" - Jeff Dye",
John McWhorter,1,"Is ""Anti-Racism"" Helping Black People? With John McWhorter",
John Barnes,1,An Honest Conversation About Race with John Barnes,
Joel Kotkin,1,Why Ordinary People Have Less and Less Power with Joel Kotkin,
Jodi Shaw,1,"Why I Left ""Racially Hostile"" Smith College - Jodi Shaw",
Jimmy Dore,1,"Jimmy Dore: ""They Won't Let the Great Unwashed Have a Voice""",
Jim Butcher,1,Has Academia Fallen? With Jim Butcher,
Jeremy Shapiro,1,"Jeremy Shapiro on Trump, Trident, Israel & Iran",
Jared Klickstein,1,"""They made crime legal."" – Jared Klickstein",
Is BRITAIN,1,Is BRITAIN on the brink of CIVIL WAR?,
Jan Jekielek,1,Exposing China's Murder for Organs Industry with Jan Jekielek,
Adam B. Coleman,1,"""Black People Don't Need Saving"" - Adam B. Coleman",
James McCann,1,Why Kneecap Is Better Than ISIS - James McCann,
James Esses,1,"""Children Are Being Irreversibly Damaged"" - James Esses",
Ivor Cummins,1,"""There's No Justification for Another Lockdown"" - Ivor Cummins",
Israeli Prime Minister Benjamin Netanyahu,1,Our Conversation With Israeli Prime Minister Benjamin Netanyahu,
Isaac Saul,1,Escaping the Biased Media Machine with Isaac Saul,
Gilets Jaunes,1,Gilets Jaunes: A Working Class Revolt They Don't Want You To Know About,
Giles Udy,1,"The Truth about Communism, Gulags and the Left with Giles Udy",
Gideon Rachman,1,"Gideon Rachman on Trump, Russia, China, Israel, Jeremy Corbyn and Journalism",
Dr Tony Sewell,1,"Dr Tony Sewell on Fatherlessness, Gangs and Knife Crime",
Ella Whelan,1,"Ella Whelan on Brexit, Feminism, #MeToo, Grooming Gangs & Abortion",
Ed West,1,Have Conservatives Lost the Culture War? - Ed West,
Dr. Peter Attia,1,"The Truth About Ozempic, Sugar and Big Food - Dr. Peter Attia",
Dr. Mike Israetel,1,“It’s not the food system. It’s YOU.” — Dr. Mike Israetel,
Dr. Lawrence Newport,1,"""The system is broken."" – Dr. Lawrence Newport",
Dr Zubin Damania,1,Doctor Answers BANNED Questions About COVID - Dr Zubin Damania,
Dr Warren Farrell,1,Why Men & Boys Are Struggling and No One Cares - Dr Warren Farrell,
Dr Steve Peters,1,Dr Steve Peters: How to Overcome Anxiety and Build Confidence,
Eshaan Akbar,1,"Eshaan Akbar on Islam, Tolerance and Identity",
Dr Steve Davies,1,Dr Steve Davies on the Independent Group and Political Realignment,
Dr Robert Zubrin,1,"""Mars is Our Future"" - Dr Robert Zubrin",
Dr Robert Lyman,1,The War in the Pacific: How WWII Changed the World Forever - Dr Robert Lyman,
Dr Rhonda Patrick,1,This is a Public Health Crisis - Dr Rhonda Patrick,
Dr Rakib Ehsan,1,Exposing the Race Industry - Dr Rakib Ehsan,
Dr Paul A. Taylor,1,Academia Has Fallen - Dr Paul A. Taylor,
Dr Louise Mazanti,1,"""We Are Angry Because We Feel Powerless"" - Dr Louise Mazanti",
Emily Molli,1,Emily Molli: Independent Journalism and the Hong Kong Protests,
